year_CPS,Characteristic,OppShare_New_Entrp,Breakdown,Rate_New_Entrp,Location,startup_index,Index Year,year_BDS,startup_density,Rank,Composition_of_New_Entrp,norm_rate,norm_opp,norm_density,z_rate,z_oppshare,z_startup_den,rank_last_y,rank_diff,index_last_y,index_diff,dataset,Location_name,Category,OppShare_New_Entrp_web,Rate_New_Entrp_web,location_category,index_diff_text
2015,,0.8508,,0.0033,8,,2016,2013,87.54000092,5,,71.42857361,76.88815308,67.14019775,1.376146674,1.455307961,-0.614853442,2,-3,0.99000001,-0.25,State Profile,Colorado,Large,8.508000374,330,the state of,basically no changes 
2005,,0.8179,,0.0043,8,,2006,2003,114.4100037,1,,100,81.62583923,66.70741272,5.963302612,0.536313593,1.705526829,1,0,2.039999962,0.700000048,State Profile,Colorado,Large,8.178999901,430,the state of,a slight increase
1982,,,,,8,,1983,1980,166.7799988,,,,,83.20602417,,,6.227978706,,,,,State Profile,Colorado,Large,,,the state of,.
1981,,,,,8,,1982,1979,182.8200073,,,,,90.54039764,,,7.613126278,,,,,State Profile,Colorado,Large,,,the state of,.
2011,,0.7084,,0.0042,8,,2012,2009,88.87999725,4,,92.30769348,58.85780716,73.06768799,5.504587173,-2.522345781,-0.499136984,5,1,1.590000033,-0.76000005,State Profile,Colorado,Large,7.084000111,420,the state of,a slight decrease
2014,,0.849,,0.0035,8,,2015,2012,86.08999634,2,,81.8181839,78.7833786,58.66065216,2.293577909,1.405028701,-0.740069747,4,2,0.779999971,0.210000038,State Profile,Colorado,Large,8.489999771,350,the state of,basically no changes 
2000,,0.859,,0.004,8,,2001,1998,125.9100037,1,,100,57.18216705,99.17492676,4.587155819,1.684358239,2.698618412,1,0,2.450000048,0.539999962,State Profile,Colorado,Large,8.590000153,400,the state of,a slight increase
2003,,0.8423,,0.0041,8,,2004,2001,115.7900009,1,,100,69.81416321,89.29360199,5.045871258,1.217877865,1.824697495,1,0,3.24000001,-0.539999962,State Profile,Colorado,Large,8.423000336,410,the state of,a slight decrease
1988,,,,,8,,1989,1986,141.7400055,,,,,69.18791199,,,4.065630436,,,,,State Profile,Colorado,Large,,,the state of,.
1983,,,,,9,,1984,1981,102.2399979,,,,,14.74384975,,,0.654576361,,,,,State Profile,Connecticut,Small,,,the state of,.
1993,,,,,9,,1994,1991,81.40000153,,,,,0,,,-1.145077944,,,,,State Profile,Connecticut,Small,,,the state of,.
1994,,,,,9,,1995,1992,80.01000214,,,,,0,,,-1.2651124,,,,,State Profile,Connecticut,Small,,,the state of,.
1981,,,,,9,,1982,1979,108.1299973,,,,,4.843417645,,,1.163211942,,,,,State Profile,Connecticut,Small,,,the state of,.
1980,,,,,9,,1981,1978,117.1500015,,,,,6.937657356,,,1.942141414,,,,,State Profile,Connecticut,Small,,,the state of,.
1982,,,,,9,,1983,1980,102.6299973,,,,,7.688668251,,,0.688255072,,,,,State Profile,Connecticut,Small,,,the state of,.
2016,,0.8112,,0.0027,9,,2017,2014,58.88000107,18,,28.00000191,43.34657288,13.52674007,-1.376146913,0.349162728,-3.089810371,22,4,-1.370000005,0,State Profile,Connecticut,Small,8.112000465,270,the state of,basically no changes 
2005,,0.7987,,0.0022,9,,2006,2003,71.56999969,24,,13.63636398,38.49721527,5.275993347,-3.669724941,6.9794E-07,-1.993955493,25,1,-2.769999981,0.879999995,State Profile,Connecticut,Small,7.986999989,220,the state of,a slight increase
2009,,0.7762,,0.0026,9,,2010,2007,72.26000214,23,,25.92592621,28.60433006,0.668505073,-1.834862471,-0.628490925,-1.934369802,19,-4,-0.730000019,-0.74000001,State Profile,Connecticut,Small,7.762000084,260,the state of,a slight decrease
1999,,0.7829,,0.0018,9,,2000,1997,80.41999817,25,,5.000000954,43.67364883,1.981321454,-5.504587173,-0.441340089,-1.229706883,24,-1,-1.409999967,-0.980000138,State Profile,Connecticut,Small,7.828999996,180,the state of,a slight decrease
1996,,,,,9,,1997,1994,83.63999939,,,,,0,,,-0.951641142,,,,,State Profile,Connecticut,Small,,,the state of,.
1992,,,,,9,,1993,1990,90.76999664,,,,,15.81189251,,,-0.335924625,,,,,State Profile,Connecticut,Small,,,the state of,.
1997,,,,,9,,1998,1995,86.16999817,,,,,4.999226093,,,-0.733161092,,,,,State Profile,Connecticut,Small,,,the state of,.
1984,,,,,9,,1985,1982,100.9000015,,,,,11.09183884,,,0.538859904,,,,,State Profile,Connecticut,Small,,,the state of,.
1995,,,,,9,,1996,1993,82.37000275,,,,,1.669522285,,,-1.061312675,,,,,State Profile,Connecticut,Small,,,the state of,.
2011,,0.7386,,0.0029,9,,2012,2009,61.18000031,21,,33.33333206,30.8283062,9.884840012,-0.458715707,-1.678770304,-2.891191959,20,-1,-1.450000048,-0.2299999,State Profile,Connecticut,Small,7.386000156,290,the state of,basically no changes 
2004,,0.735,,0.0019,9,,2005,2002,77.37000275,25,,9.302325249,11.13198853,11.33067036,-5.045871735,-1.779328942,-1.493091583,23,-2,-2.039999962,-0.730000019,State Profile,Connecticut,Small,7.349999905,190,the state of,a slight decrease
1998,,0.8226,,0.0022,9,,1999,1996,80.58000183,24,,9.523808479,58.92751694,0,-3.669724941,0.667598486,-1.215889573,,,,,State Profile,Connecticut,Small,8.225999832,220,the state of,.
2010,,0.7605,,0.0027,9,,2011,2008,72.75,20,,19.23077011,44.21617126,10.94640923,-1.376146913,-1.067038417,-1.892055631,23,3,-1.470000029,0.019999981,State Profile,Connecticut,Small,7.605000019,270,the state of,basically no changes 
2001,,0.8021,,0.0027,9,,2002,1999,76.66000366,22,,35.13513565,37.93756104,10.05940342,-1.376146913,0.094972767,-1.55440414,24,2,-1.99000001,1.039999962,State Profile,Connecticut,Small,8.020999908,270,the state of,a large increase
2008,,0.8175,,0.0027,9,,2009,2006,79.19999695,19,,34.2857132,41.65137482,0.082108706,-1.376146913,0.525140405,-1.335061073,18,-1,-0.629999995,-0.100000024,State Profile,Connecticut,Small,8.175000191,270,the state of,basically no changes 
2003,,0.7648,,0.0023,9,,2004,2001,71.93000031,23,,23.52941132,34.12994766,8.504448891,-3.211009264,-0.946926713,-1.96286726,23,0,-1.529999971,-0.50999999,State Profile,Connecticut,Small,7.647999763,230,the state of,a slight decrease
1979,,,,,9,,1980,1977,138.8899994,,,,,5.940684795,,,3.819516182,,,,,State Profile,Connecticut,Small,,,the state of,.
2002,,0.773,,0.0025,9,,2003,2000,76.44000244,23,,30.7692318,22.99539185,7.986264706,-2.293578148,-0.717876434,-1.573402524,22,-1,-0.949999988,-0.579999983,State Profile,Connecticut,Small,7.730000019,250,the state of,a slight decrease
2012,,0.769,,0.003,9,,2013,2010,58.54999924,18,,44.44444275,37.39424515,14.11042786,-1.19619E-07,-0.829608262,-3.118307829,21,3,-1.679999948,0.359999895,State Profile,Connecticut,Small,7.690000057,300,the state of,a slight increase
1985,,,,,9,,1986,1983,96.16999817,,,,,5.493629932,,,0.130396768,,,,,State Profile,Connecticut,Small,,,the state of,.
1987,,,,,9,,1988,1985,110.2900009,,,,,21.35604668,,,1.349740744,,,,,State Profile,Connecticut,Small,,,the state of,.
2014,,0.7488,,0.0029,9,,2015,2012,63.13000107,20,,30.55555534,26.35843658,11.44257927,-0.458715707,-1.393854141,-2.722798109,18,-2,-1.129999995,-0.399999976,State Profile,Connecticut,Small,7.487999916,290,the state of,a slight decrease
1989,,,,,9,,1990,1987,125.8899994,,,,,46.93761826,,,2.696890831,,,,,State Profile,Connecticut,Small,,,the state of,.
2015,,0.763,,0.0029,9,,2016,2013,63.95000076,22,,34.375,25.51229477,22.84163094,-0.458715707,-0.997206032,-2.651986361,20,-2,-1.529999971,0.159999967,State Profile,Connecticut,Small,7.630000114,290,the state of,basically no changes 
1990,,,,,9,,1991,1988,115.2900009,,,,,56.694561,,,1.781519651,,,,,State Profile,Connecticut,Small,,,the state of,.
2000,,0.7699,,0.0021,9,,2001,1998,82.51999664,24,,15.78947353,39.16893768,6.023263931,-4.12844038,-0.804468632,-1.048359871,25,1,-2.390000105,0.400000095,State Profile,Connecticut,Small,7.698999882,210,the state of,a slight increase
1988,,,,,9,,1989,1986,115.6800003,,,,,33.57900238,,,1.815198302,,,,,State Profile,Connecticut,Small,,,the state of,.
1986,,,,,9,,1987,1984,106.5199966,,,,,6.138869286,,,1.024178982,,,,,State Profile,Connecticut,Small,,,the state of,.
2007,,0.8239,,0.0027,9,,2008,2005,80.68000031,18,,35.48387146,56.32984924,5.678533554,-1.376146913,0.703911364,-1.207254171,23,5,-1.120000005,0.49000001,State Profile,Connecticut,Small,8.23900032,270,the state of,a slight increase
1991,,,,,9,,1992,1989,105.5400009,,,,,38.27765656,,,0.939550698,,,,,State Profile,Connecticut,Small,,,the state of,.
2006,,0.7996,,0.0026,9,,2007,2004,76.83999634,23,,21.95121956,44.53731537,1.305588603,-1.834862471,0.025140364,-1.538860798,24,1,-1.889999986,0.769999981,State Profile,Connecticut,Small,7.995999813,260,the state of,a slight increase
2013,,0.7686,,0.0031,9,,2014,2011,59.84000015,18,,40,25.89493179,6.624228954,0.458715469,-0.84078145,-3.006908894,18,0,-1.320000052,0.190000057,State Profile,Connecticut,Small,7.68599987,310,the state of,basically no changes 
1993,,,,,10,,1994,1991,105.6999969,,,,,43.26151657,,,0.953367293,,,,,State Profile,Delaware,Small,,,the state of,.
1994,,,,,10,,1995,1992,98.68000031,,,,,36.94103241,,,0.347149968,,,,,State Profile,Delaware,Small,,,the state of,.
1982,,,,,10,,1983,1980,103.9599991,,,,,9.259474754,,,0.803108394,,,,,State Profile,Delaware,Small,,,the state of,.
2014,,0.836,,0.0029,10,,2015,2012,74.30000305,14,,30.55555534,67.92182922,35.24398804,-0.458715707,1.041900158,-1.758203864,15,1,-0.469999999,0.080000013,State Profile,Delaware,Small,8.359999657,290,the state of,basically no changes 
1997,,,,,10,,1998,1995,106.3899994,,,,,36.0067482,,,1.012953043,,,,,State Profile,Delaware,Small,,,the state of,.
2002,,0.9333,,0.0017,10,,2003,2000,107.0500031,18,,10.25641251,96.8663559,51.7961998,-5.963302612,3.759777308,1.069948196,20,2,-0.469999999,0.090000004,State Profile,Delaware,Small,9.333000183,170,the state of,basically no changes 
2008,,0.8182,,0.0016,10,,2009,2006,92.04000092,25,,2.857141972,41.97247696,17.6543045,-6.422018528,0.54469347,-0.226252392,25,0,-2.230000019,0.200000048,State Profile,Delaware,Small,8.18200016,160,the state of,basically no changes 
1996,,,,,10,,1997,1994,106.0199966,,,,,36.8455658,,,0.981001139,,,,,State Profile,Delaware,Small,,,the state of,.
2011,,0.7934,,0.0026,10,,2012,2009,71.68000031,18,,19.04762077,60.88864517,30.03838921,-1.834862471,-0.148044005,-1.984456301,23,5,-1.700000048,0.379999995,State Profile,Delaware,Small,7.934000015,260,the state of,a slight increase
2003,,0.9412,,0.0015,10,,2004,2001,91.40000153,19,,0,100,36.85744476,-6.880733967,3.980447769,-0.281520039,18,-1,-0.379999995,-0.679999948,State Profile,Delaware,Small,9.411999702,150,the state of,a slight decrease
1995,,,,,10,,1996,1993,100.9599991,,,,,36.93796539,,,0.544041038,,,,,State Profile,Delaware,Small,,,the state of,.
2001,,0.9333,,0.0017,10,,2002,1999,104.0100021,20,,8.108108521,100,44.62277603,-5.963302612,3.759777308,0.807426453,20,0,-0.330000013,-0.139999986,State Profile,Delaware,Small,9.333000183,170,the state of,basically no changes 
1988,,,,,10,,1989,1986,122.25,,,,,42.07395935,,,2.382555723,,,,,State Profile,Delaware,Small,,,the state of,.
1986,,,,,10,,1987,1984,118.25,,,,,17.79080582,,,2.03713274,,,,,State Profile,Delaware,Small,,,the state of,.
2004,,0.8995,,0.0015,10,,2005,2002,91.33999634,22,,0,88.3983078,30.6342411,-6.880733967,2.815643311,-0.286701858,19,-3,-1.059999943,-0.390000105,State Profile,Delaware,Small,8.994999886,150,the state of,a slight decrease
2012,,0.8551,,0.0025,10,,2013,2010,66.51000214,13,,25.9259243,73.81556702,28.90872192,-2.293578148,1.575419784,-2.430915594,18,5,-1.320000052,0.2700001,State Profile,Delaware,Small,8.550999641,250,the state of,a slight increase
1992,,,,,10,,1993,1990,112.6999969,,,,,53.1777153,,,1.557857752,,,,,State Profile,Delaware,Small,,,the state of,.
1999,,0.912,,0.0017,10,,2000,1997,100.6100006,21,,2.500001669,100,30.55477524,-5.963302612,3.164805174,0.513816655,21,0,-0.620000005,-0.139999986,State Profile,Delaware,Small,9.119999886,170,the state of,basically no changes 
1983,,,,,10,,1984,1981,100.7600021,,,,,12.73271275,,,0.526770175,,,,,State Profile,Delaware,Small,,,the state of,.
2005,,0.8132,,0.0016,10,,2006,2003,94.94000244,25,,0,45.22263336,35.27599716,-6.422018528,0.405028641,0.024179514,22,-3,-1.450000048,-0.549999952,State Profile,Delaware,Small,8.131999969,160,the state of,a slight decrease
1984,,,,,10,,1985,1982,103.75,,,,,14.00000095,,,0.7849738,,,,,State Profile,Delaware,Small,,,the state of,.
2006,,0.725,,0.0017,10,,2007,2004,92.09999847,25,,0,0,23.19942093,-5.963302612,-2.0586586,-0.221071258,25,0,-2,-0.75,State Profile,Delaware,Small,7.25,170,the state of,a slight decrease
1987,,,,,10,,1988,1985,117.9400024,,,,,29.98646355,,,2.010362625,,,,,State Profile,Delaware,Small,,,the state of,.
2016,,0.8609,,0.002,10,,2017,2014,77,20,,0,68.02383423,45.1939888,-4.587156296,1.73743093,-1.525043488,16,-4,-0.970000029,-0.49000001,State Profile,Delaware,Small,8.609000206,200,the state of,a slight decrease
1981,,,,,10,,1982,1979,115.5,,,,,12.26462555,,,1.799654245,,,,,State Profile,Delaware,Small,,,the state of,.
1989,,,,,10,,1990,1987,126.0699997,,,,,47.19164276,,,2.712435007,,,,,State Profile,Delaware,Small,,,the state of,.
2007,,0.8049,,0.0016,10,,2008,2005,89.65000153,25,,0,45.29616547,18.01182365,-6.422018528,0.173185065,-0.432642668,25,0,-2.75,0.519999981,State Profile,Delaware,Small,8.048999786,160,the state of,a slight increase
2009,,0.8392,,0.0019,10,,2010,2007,83,24,,0,57.62321472,16.27670097,-5.045871735,1.131285667,-1.006908774,25,1,-2.029999971,0.389999986,State Profile,Delaware,Small,8.392000198,190,the state of,a slight increase
1990,,,,,10,,1991,1988,112.5699997,,,,,51.9525795,,,1.546631813,,,,,State Profile,Delaware,Small,,,the state of,.
1998,,0.8299,,0.0023,10,,1999,1996,100.1500015,21,,11.90476131,63.22922516,31.3220253,-3.211009264,0.871509135,0.47409308,,,,,State Profile,Delaware,Small,8.298999786,230,the state of,.
1980,,,,,10,,1981,1978,118.6500015,,,,,8.403359413,,,2.071675062,,,,,State Profile,Delaware,Small,,,the state of,.
1985,,,,,10,,1986,1983,104.7099991,,,,,13.04847908,,,0.867875278,,,,,State Profile,Delaware,Small,,,the state of,.
1979,,,,,10,,1980,1977,159.2899933,,,,,24.49962807,,,5.58117342,,,,,State Profile,Delaware,Small,,,the state of,.
2015,,0.8622,,0.0024,10,,2016,2013,72.19000244,16,,18.75,76.33196259,37.7556572,-2.752293587,1.773743749,-1.940414667,14,-2,-0.389999986,-0.580000043,State Profile,Delaware,Small,8.621999741,240,the state of,a slight decrease
2013,,0.8734,,0.0027,10,,2014,2011,70.11000061,15,,26.66666603,74.61645508,27.0539093,-1.376146913,2.086592913,-2.120034933,13,-2,-1.049999952,0.579999924,State Profile,Delaware,Small,8.734000206,270,the state of,a slight increase
2000,,0.9379,,0.0017,10,,2001,1998,107.1600037,20,,5.263158798,96.38964081,39.75360107,-5.963302612,3.888268948,1.079447389,21,1,-0.75999999,0.429999977,State Profile,Delaware,Small,9.37899971,170,the state of,a slight increase
2010,,0.7853,,0.0022,10,,2011,2008,82.40000153,23,,0,55.2925415,26.66558456,-3.669724941,-0.374300987,-1.058722138,24,1,-1.639999986,-0.060000062,State Profile,Delaware,Small,7.853000164,220,the state of,basically no changes 
1991,,,,,10,,1992,1989,118.5800018,,,,,58.2592659,,,2.065630198,,,,,State Profile,Delaware,Small,,,the state of,.
1983,,,,,12,,1984,1981,161.5899963,,,,,57.48898315,,,5.779792309,,,,,State Profile,Florida,Large,,,the state of,.
2012,,0.7364,,0.0038,12,,2013,2010,101.2200012,5,,76.92308044,67.8601532,100,3.669724703,-1.740222812,0.56649375,6,1,0.75,0.079999983,State Profile,Florida,Large,7.363999844,380,the state of,basically no changes 
1981,,,,,12,,1982,1979,171.8600006,,,,,78.12394714,,,6.666666508,,,,,State Profile,Florida,Large,,,the state of,.
1997,,,,,12,,1998,1995,131.1199951,,,,,92.7134552,,,3.148531199,,,,,State Profile,Florida,Large,,,the state of,.
1979,,,,,12,,1980,1977,202.9700012,,,,,89.16685486,,,9.35319519,,,,,State Profile,Florida,Large,,,the state of,.
2015,,0.7954,,0.0036,12,,2016,2013,101.6500015,2,,85.7142868,54.02393723,100,2.752293348,-0.092178077,0.603626788,1,-1,1.110000014,-0.019999981,State Profile,Florida,Large,7.953999996,360,the state of,basically no changes 
2006,,0.837,,0.003,12,,2007,2004,149.1499939,3,,54.54545593,76.07950592,100,-1.19619E-07,1.069833159,4.705525875,5,2,1.200000048,0.7299999,State Profile,Florida,Large,8.369999886,300,the state of,a slight increase
2002,,0.8623,,0.0028,12,,2003,2000,119.8799973,4,,48,63.95616913,100,-0.917431295,1.776537061,2.177892447,3,-1,1.49000001,-0.480000019,State Profile,Florida,Large,8.623000145,280,the state of,a slight decrease
2009,,0.8131,,0.0039,12,,2010,2007,125.6299973,3,,74.19355011,73.36266327,100,4.12844038,0.402235359,2.674438238,3,0,2.539999962,-0.139999866,State Profile,Florida,Large,8.130999565,390,the state of,basically no changes 
1985,,,,,12,,1986,1983,153.2799988,,,,,100,,,5.062175751,,,,,State Profile,Florida,Large,,,the state of,.
2004,,0.8009,,0.0029,12,,2005,2002,127.8600006,6,,54.54545212,71.56327057,100,-0.458715707,0.061453216,2.867011786,5,-1,0.769999981,0.050000012,State Profile,Florida,Large,8.008999825,290,the state of,basically no changes 
1993,,,,,12,,1994,1991,134.9299927,,,,,100,,,3.477546453,,,,,State Profile,Florida,Large,,,the state of,.
1992,,,,,12,,1993,1990,137.7200012,,,,,95.17826843,,,3.718479872,,,,,State Profile,Florida,Large,,,the state of,.
1989,,,,,12,,1990,1987,163.9700012,,,,,100,,,5.985319138,,,,,State Profile,Florida,Large,,,the state of,.
2007,,0.8409,,0.0032,12,,2008,2005,143.5899963,3,,65.21739197,86.63484192,100,0.917431056,1.178771734,4.22538805,3,0,1.929999948,0.179999948,State Profile,Florida,Large,8.409000397,320,the state of,basically no changes 
1990,,,,,12,,1991,1988,148.9799957,,,,,100,,,4.69084549,,,,,State Profile,Florida,Large,,,the state of,.
2013,,0.7734,,0.0036,12,,2014,2011,105.5500031,2,,75,65.63600922,100,2.752293348,-0.706703246,0.940414488,5,3,0.829999983,0.170000017,State Profile,Florida,Large,7.734000206,360,the state of,basically no changes 
1998,,0.7944,,0.0034,12,,1999,1996,129.5599976,5,,60.71428299,28.3018856,96.79698944,1.834862232,-0.120111041,3.013816357,,,,,State Profile,Florida,Large,7.943999767,340,the state of,.
2000,,0.8614,,0.0029,12,,2001,1998,125.5800018,3,,56,58.50302505,98.39698029,-0.458715707,1.751397371,2.670120716,4,1,1.419999957,-0.099999905,State Profile,Florida,Large,8.61400032,290,the state of,basically no changes 
2010,,0.7559,,0.004,12,,2011,2008,113.6100006,4,,69.69696808,64.28900146,98.5500946,4.587155819,-1.195530057,1.636441946,3,-1,2.400000095,-0.720000148,State Profile,Florida,Large,7.559000015,400,the state of,a slight decrease
2005,,0.8239,,0.0029,12,,2006,2003,133.4799957,5,,44,84.96659088,100,-0.458715707,0.703911364,3.352330923,6,1,0.819999993,0.380000055,State Profile,Florida,Large,8.23900032,290,the state of,a slight increase
1986,,,,,12,,1987,1984,162.2700043,,,,,85.46704102,,,5.838514805,,,,,State Profile,Florida,Large,,,the state of,.
1996,,,,,12,,1997,1994,136.1600037,,,,,100,,,3.58376503,,,,,State Profile,Florida,Large,,,the state of,.
1980,,,,,12,,1981,1978,181.9600067,,,,,100,,,7.538860321,,,,,State Profile,Florida,Large,,,the state of,.
1984,,,,,12,,1985,1982,160.0899963,,,,,87.91323853,,,5.650258541,,,,,State Profile,Florida,Large,,,the state of,.
1991,,,,,12,,1992,1989,139.2400055,,,,,100,,,3.84974122,,,,,State Profile,Florida,Large,,,the state of,.
1988,,,,,12,,1989,1986,161.4700012,,,,,96.67084503,,,5.769429684,,,,,State Profile,Florida,Large,,,the state of,.
2003,,0.8179,,0.0029,12,,2004,2001,120.6399994,5,,50,57.55901337,100,-0.458715707,0.536313593,2.243522882,4,-1,1.00999999,-0.24000001,State Profile,Florida,Large,8.178999901,290,the state of,basically no changes 
1995,,,,,12,,1996,1993,138.5299988,,,,,100,,,3.78842783,,,,,State Profile,Florida,Large,,,the state of,.
2016,,0.8331,,0.0038,12,,2017,2014,98.65000153,3,,84,75.97665405,100,3.669724703,0.960894585,0.344559401,2,-1,1.090000033,0.569999933,State Profile,Florida,Large,8.331000328,380,the state of,a slight increase
2014,,0.8031,,0.0035,12,,2015,2012,105.3499985,1,,81.8181839,56.08308411,100,2.293577909,0.122905731,0.92314291,2,1,1,0.110000014,State Profile,Florida,Large,8.031000137,350,the state of,basically no changes 
2001,,0.8811,,0.0029,12,,2002,1999,124.9899979,3,,60,72.42798615,100,-0.458715707,2.30167675,2.619170427,3,0,1.320000052,0.169999957,State Profile,Florida,Large,8.81099987,290,the state of,basically no changes 
1999,,0.8166,,0.0032,12,,2000,1997,127.5400009,4,,70.83333588,48.13964081,89.64339447,0.917431056,0.500000715,2.839378119,5,1,1.580000043,-0.160000086,State Profile,Florida,Large,8.166000366,320,the state of,basically no changes 
1987,,,,,12,,1988,1985,161.5599976,,,,,89.13925934,,,5.777201653,,,,,State Profile,Florida,Large,,,the state of,.
1982,,,,,12,,1983,1980,168.0200043,,,,,84.64121246,,,6.335060596,,,,,State Profile,Florida,Large,,,the state of,.
1994,,,,,12,,1995,1992,138.1699982,,,,,100,,,3.757339716,,,,,State Profile,Florida,Large,,,the state of,.
2008,,0.8517,,0.0035,12,,2009,2006,139.2299957,3,,61.29032516,70.16316986,100,2.293577909,1.48044765,3.848876715,3,0,2.109999895,0.430000067,State Profile,Florida,Large,8.517000198,350,the state of,a slight increase
2011,,0.6977,,0.004,12,,2012,2009,100.0999985,6,,84.61538696,54.70085526,100,4.587155819,-2.821228504,0.469775021,4,-2,1.679999948,-0.929999948,State Profile,Florida,Large,6.977000237,400,the state of,a slight decrease
1985,,,,,13,,1986,1983,124.8099976,,,,,54.99525833,,,2.60362649,,,,,State Profile,Georgia,Large,,,the state of,.
1997,,,,,13,,1998,1995,124.6399994,,,,,79.4129715,,,2.588946104,,,,,State Profile,Georgia,Large,,,the state of,.
1992,,,,,13,,1993,1990,113.4000015,,,,,50.24940491,,,1.618307233,,,,,State Profile,Georgia,Large,,,the state of,.
1979,,,,,13,,1980,1977,176.75,,,,,59.0773468,,,7.088946342,,,,,State Profile,Georgia,Large,,,the state of,.
1986,,,,,13,,1987,1984,143.5399933,,,,,57.52013779,,,4.221069813,,,,,State Profile,Georgia,Large,,,the state of,.
2010,,0.746,,0.005,13,,2011,2008,105.2900009,1,,100,59.73308945,80.27241516,9.174311638,-1.472066402,0.917961776,2,1,2.789999962,0.079999924,State Profile,Georgia,Large,7.460000038,500,the state of,basically no changes 
1980,,,,,13,,1981,1978,153.9700012,,,,,61.60493469,,,5.121761322,,,,,State Profile,Georgia,Large,,,the state of,.
2009,,0.7594,,0.0047,13,,2010,2007,114.0599976,2,,100,47.11632538,78.50241089,7.798164845,-1.09776473,1.675301671,1,-1,3.809999943,-1.019999981,State Profile,Georgia,Large,7.593999863,470,the state of,a large decrease
2003,,0.7772,,0.0027,13,,2004,2001,108.3000031,7,,41.66666412,37.11702347,72.75939178,-1.376146913,-0.600557983,1.177892923,18,11,-1,0.730000019,State Profile,Georgia,Large,7.771999836,270,the state of,a slight increase
1983,,,,,13,,1984,1981,124.9499969,,,,,28.66582298,,,2.615716219,,,,,State Profile,Georgia,Large,,,the state of,.
2000,,0.8082,,0.0027,13,,2001,1998,123.7699966,11,,48,29.22399521,94.13011169,-1.376146913,0.265363842,2.513816357,8,-3,0.660000026,-0.190000027,State Profile,Georgia,Large,8.081999779,270,the state of,basically no changes 
2011,,0.6958,,0.0043,13,,2012,2009,86.83999634,5,,96.15384674,53.96270752,68.17089844,5.963302612,-2.874300957,-0.675302863,1,-4,2.869999886,-2.069999933,State Profile,Georgia,Large,6.958000183,430,the state of,a large decrease
1995,,,,,13,,1996,1993,120.8399963,,,,,70.05754852,,,2.260793924,,,,,State Profile,Georgia,Large,,,the state of,.
2006,,0.8719,,0.0038,13,,2007,2004,114,1,,90.90908813,100,50.93523407,3.669724703,2.04469347,1.670120597,2,1,1.909999967,0.550000072,State Profile,Georgia,Large,8.718999863,380,the state of,a slight increase
1988,,,,,13,,1989,1986,142,,,,,69.55007935,,,4.08808279,,,,,State Profile,Georgia,Large,,,the state of,.
1981,,,,,13,,1982,1979,139.1799927,,,,,41.10116196,,,3.844558716,,,,,State Profile,Georgia,Large,,,the state of,.
2013,,0.6465,,0.0029,13,,2014,2011,85.38999939,11,,45.83333206,15.9686861,57.3694191,-0.458715707,-4.251396179,-0.800518513,9,-2,-0.059999999,-1.780000091,State Profile,Georgia,Large,6.465000153,290,the state of,a large decrease
1989,,,,,13,,1990,1987,140.3999939,,,,,58.45962906,,,3.949912786,,,,,State Profile,Georgia,Large,,,the state of,.
2015,,0.7672,,0.0029,13,,2016,2013,83.37999725,11,,52.38095093,42.38547516,57.45225143,-0.458715707,-0.879887581,-0.974093795,13,2,-1.360000014,0.590000033,State Profile,Georgia,Large,7.671999931,290,the state of,a slight increase
1998,,0.8639,,0.0032,13,,1999,1996,126.0599976,4,,53.57142639,63.74298859,89.51745605,0.917431056,1.821229815,2.711571217,,,,,State Profile,Georgia,Large,8.638999939,320,the state of,.
1991,,,,,13,,1992,1989,119.4499969,,,,,60.54623795,,,2.140759468,,,,,State Profile,Georgia,Large,,,the state of,.
1993,,,,,13,,1994,1991,114.6900024,,,,,64.27816772,,,1.729706287,,,,,State Profile,Georgia,Large,,,the state of,.
1996,,,,,13,,1997,1994,125.2799988,,,,,80.93234253,,,2.644213676,,,,,State Profile,Georgia,Large,,,the state of,.
1982,,,,,13,,1983,1980,129.1999969,,,,,39.71064758,,,2.982728243,,,,,State Profile,Georgia,Large,,,the state of,.
2002,,0.7605,,0.0022,13,,2003,2000,114.9199982,18,,24,5.247982025,88.05970001,-3.669724941,-1.067038417,1.749567747,19,1,-0.610000014,-0.389999986,State Profile,Georgia,Large,7.605000019,220,the state of,a slight decrease
2012,,0.6971,,0.0038,13,,2013,2010,83.06999969,9,,76.92308044,51.30581284,59.34139252,3.669724703,-2.837988138,-1.00086391,5,-4,0.800000012,-0.860000014,State Profile,Georgia,Large,6.971000195,380,the state of,a slight decrease
2005,,0.8509,,0.0036,13,,2006,2003,112.1900024,2,,72,100,62.83171463,2.752293348,1.458101273,1.513816833,4,2,1.090000033,0.819999933,State Profile,Georgia,Large,8.508999825,360,the state of,a slight increase
2004,,0.8553,,0.003,13,,2005,2002,114.1600037,4,,59.09090805,98.56079102,71.85124969,-1.19619E-07,1.581006289,1.683937788,7,3,-0.270000011,1.360000014,State Profile,Georgia,Large,8.55300045,300,the state of,a large increase
2007,,0.8633,,0.004,13,,2008,2005,116.4700012,1,,100,100,58.27050781,4.587155819,1.804470062,1.883419514,1,0,2.460000038,0.299999952,State Profile,Georgia,Large,8.633000374,400,the state of,a slight increase
